year,anchor_source_generation_twh,opso_modelling_twh,pv_tot_twh,opso_plus_pv_twh,residual_twh,residual_pct_of_anchor,diag_opso_pvlite_twh
2030,211.54,189.81795989823502,48.715301,238.53326089823503,-26.99326089823502,-12.760357803836165,238.53352085264544
2040,292.31,240.0507971367365,78.94708700000001,318.9978841367365,-26.6878841367365,-9.129993546829223,318.998103695185
2050,330.77,251.92536408431022,121.39330299999999,373.3186670843102,-42.548667084310225,-12.863520598697049,373.3188550804489
