run_id,test1_zero_use,use_mwh,test3_dual_finite,test4_cap_tracking,realised_over_cap,cap_binding,termination_ok,model_status
idm_d135_i100_2040,True,0.0,True,,0.9415882310874917,False,True,Optimal
idm_d135_i100_2050,False,894.9928221012487,True,True,0.9999999999997579,True,True,Optimal
idm_d150_i005_2030,True,0.0,True,True,1.0000000000000677,True,True,Optimal
idm_d150_i005_2040,True,0.0,True,True,0.9999999999999404,True,True,Optimal
idm_d150_i005_2050,True,0.0,True,True,1.0000000000000662,True,True,Optimal
idm_d150_i010_2030,True,0.0,True,True,1.0000000000001164,True,True,Optimal
idm_d150_i010_2040,True,0.0,True,True,1.0000000000002285,True,True,Optimal
idm_d150_i010_2050,True,0.0,True,True,0.9999999999999464,True,True,Optimal
idm_d150_i025_2030,True,0.0,True,True,0.9993295199057969,True,True,Unknown
idm_d150_i025_2040,False,410.21524451180846,True,True,1.0000000000001674,True,True,Optimal
idm_d150_i025_2050,True,0.0,True,True,0.9999999999999601,True,True,Optimal
idm_d150_i050_2030,False,46.38408657450105,True,True,0.9999999999997571,True,True,Optimal
idm_d150_i050_2040,True,0.0,True,True,0.9999999999997551,True,True,Optimal
idm_d150_i050_2050,True,0.0,True,True,1.0000000000000315,True,True,Optimal
idm_d150_i100_2030,False,44.49910429306702,True,True,0.9999999999999774,True,True,Optimal
idm_d150_i100_2040,True,0.0,True,,0.9589266806944166,False,True,Optimal
idm_d150_i100_2050,False,560.3242382061034,True,True,0.9999999999999004,True,True,Optimal
idm_d150_i150_2030,False,34.903533179281474,True,,0.7018803412453203,False,True,Optimal
idm_d150_i150_2040,True,0.0,True,,0.6392844537962776,False,True,Optimal
idm_d150_i150_2050,False,804.5698142402482,True,,0.851936597988813,False,True,Optimal
