year,delivered_twh,prev_renewable_fraction_pct,bulk_grid_renewable_pct,r_total_pct,r_vre_pct,generation_real_twh,generation_all_twh,slack_generator_mwh,unserved_mwh,residual_co2e_t,captured_co2_t,gas_abated_twh,gas_unabated_twh,gas_abated_gw,gas_unabated_gw,iota_delivered_t_per_mwh,iota_generated_t_per_mwh,anchor_quantity_twh,anchor_renewable_share_pct,quantity_gap_twh,quantity_gap_pct,share_gap_pp
2030,188.94089324068892,60.76027627893612,60.76027627893612,60.76027627893612,53.896304587824275,192.8258028499881,192.8258028499881,0.0,0.0,74706777.90674354,4.68195120657183,1.1167931261086788e-05,2.4128767911618487,2.5311108293771653e-07,2.456210410420053,0.39539761152486835,0.38743143709279854,211.54,79.60000000000001,-18.7141971500119,-8.84664704075442,-18.83972372106389
2040,237.69323381204111,74.15500773270473,74.15500773270473,74.15500773270473,68.86367620368874,245.91537251034813,245.91537251034813,0.0,0.0,43192815.16347663,118.46087043118419,0.0002825665624722859,33.270871234090954,2.8099263834532245e-05,11.91861770380831,0.18171663732604137,0.17564097243111174,292.31,94.0,-46.39462748965187,-15.871720943399769,-19.844992267295268
2050,251.9382881735692,81.36211402271006,81.36211402271006,81.36211402271006,77.41817343320484,260.9590487889511,260.9590487889511,0.0,0.0,24035928.299241252,91.43597801910906,0.00021810366495795852,38.29650009897893,1.760790376997368e-05,14.252159841817623,0.09540403117561096,0.09210613086913935,330.77,97.39999999999999,-69.81095121104886,-21.10558732988145,-16.037885977289932
