cell,year,generation_twh,served_load_twh,storage_charge_twh,storage_discharge_twh,storage_roundtrip_loss_twh,transmission_loss_twh,balance_residual_twh
sweep_c0_d087,2030,168.13851579861867,164.2927979538681,22.701562193009927,18.733070589499444,3.968491603510484,0.0,-0.12277375875990093
sweep_c0_d087,2040,213.9917831595909,206.6852006883251,40.24249091208388,32.90967751785196,7.332813394231915,0.0,-0.026230922966122627
sweep_c0_d087,2050,227.42142629416156,219.07193072817444,49.822835943714615,41.382393758545504,8.440442185169116,0.0,-0.09094661918200553
sweep_c0_d100,2030,192.8258028499881,188.94089324068892,21.79014905001032,17.881930312506544,3.9082187375037742,0.0,-0.02330912820459157
sweep_c0_d100,2040,245.91537251034813,237.69323381204111,47.536942345151395,39.28820415178083,8.248738193370565,0.0,-0.02659949506352842
sweep_c0_d100,2050,260.9590487889511,251.9382881735692,53.80314713673067,44.762193954287575,9.040953182443097,0.0,-0.020192567061200737
sweep_c0_d110,2030,211.68303189227373,207.83498256475784,21.704562421065035,17.841015348717207,3.863547072347831,0.0,-0.015497744831930846
sweep_c0_d110,2040,270.3640131224134,261.4625571932453,50.903597599532624,42.03562826387679,8.867969335655838,0.0,0.03348659351229668
sweep_c0_d110,2050,287.14396244871074,277.13211699092614,59.796481955946774,49.86793485841124,9.928547097535535,0.0,0.08329836024905742
sweep_c0_d123,2030,237.54980827154466,233.29514581072712,22.681628316683856,18.503740471686722,4.177887844997134,0.0,0.07677461582041159
sweep_c0_d123,2040,303.0862156616199,293.4921958358854,57.223743246437174,47.64730558597319,9.57643766046398,0.0,0.017582165270514788
sweep_c0_d123,2050,321.95377907264793,311.08130519889096,66.54102828581293,55.719487774043564,10.821540511769355,0.0,0.05093336198759079
sweep_c150_d087,2030,168.4652472886905,164.2927979538681,22.510617832303957,18.350297690857218,4.160320141446739,0.0,0.01212919337567687
sweep_c150_d087,2040,214.5569528902139,206.6852006883251,47.04459720770069,39.05892076482111,7.98567644287958,0.0,-0.11392424099078029
sweep_c150_d087,2050,227.90344914065537,219.07193072817444,52.66861777388493,43.843567340781036,8.825050433103897,0.0,0.006467979377023876
sweep_c150_d100,2030,193.35712117156137,188.94089324068892,23.97626012760435,19.57981154430458,4.396448583299767,0.0,0.019779347572673113
sweep_c150_d100,2040,245.8817722187713,237.69323381204111,47.7363308854145,39.5387348533119,8.1975960321026,0.0,-0.009057625372424721
sweep_c150_d100,2050,261.3362107933535,251.9382881735692,56.18072977722814,46.81325626090376,9.36747351632438,0.0,0.03044910345991701
sweep_c150_d110,2030,212.3163674422631,207.83498256475784,24.58556733641413,20.092468715342726,4.493098621071402,0.0,-0.011713743566129357
sweep_c150_d110,2040,270.3604958642962,261.4625571932453,53.44904097920328,44.52528656947124,8.923754409732044,0.0,-0.02581573868110776
sweep_c150_d110,2050,287.6106686338891,277.13211699092614,63.82453870894105,53.36669837467459,10.45784033426646,0.0,0.020711308696471156
