year,cap_key,from_level,to_level,delta_delivered_twh,chordal_aud_per_mwh,demand_dual_from,demand_dual_to,dual_vs_chordal_ratio_from
2030,i005,d100,d105,9.447044662034443,156.25891671419384,166.90396855455657,173.29948772871586,1.0681244441226552
2030,i005,d105,d110,9.447044662034472,160.2280058227543,173.29948772871586,178.92136956012905,1.0815805067212865
2030,i005,d110,d120,18.894089324068858,166.4841815587607,178.92136956012905,188.53791783140744,1.074704923224064
2030,i005,d120,d135,28.341133986103358,172.73860934199314,188.53791783140744,197.90662357658385,1.0914636776896494
2030,i005,d135,d150,28.3411339861033,188.82922468796386,197.90662357658385,218.23441796238563,1.0480720021152456
2030,i010,d100,d110,18.894089324068915,141.6732942073806,153.0705035717541,167.11848833819562,1.0804471261019055
2030,i010,d110,d150,75.57635729627552,166.7572292253952,167.11848833819562,209.8015095938652,1.0021663775206537
2030,i025,d100,d105,9.447044662034443,119.3226107417649,127.3812386355359,130.8220440508357,1.0675364697744611
2030,i025,d105,d110,9.447044662034472,120.63723135356301,130.8220440508357,134.52533129268627,1.084425119699764
2030,i025,d110,d120,18.894089324068858,126.19916474134246,134.52533129268627,152.20777339098214,1.065976399831244
2030,i025,d120,d135,28.341133986103358,133.84547130973826,152.20777339098214,163.13300843202293,1.137190312840326
2030,i025,d135,d150,28.3411339861033,154.20539130161774,163.13300843202293,183.60891655025293,1.0578943255812843
2030,i050,d100,d110,18.894089324068915,99.2326832432071,104.74724406500354,113.47358654741876,1.0555720216521902
2030,i050,d110,d150,75.57635729627552,117.22198174885979,113.47358654741876,152.55041290537312,0.9680231032992455
2030,i100,d100,d105,9.447044662034443,69.14120930439533,57.20831530134565,76.08460059901076,0.8274127091050011
2030,i100,d105,d110,9.447044662034472,80.21272673471793,76.08460059901076,84.05235558965765,0.948535272346995
2030,i100,d110,d120,18.894089324068858,85.617849011338,84.05235558965765,96.30702231183298,0.9817153381011355
2030,i100,d120,d135,28.341133986103358,103.0975389674231,96.30702231183298,113.25079379306806,0.9341350266592124
2030,i100,d135,d150,28.3411339861033,110.44355813566995,113.25079379306806,120.86360732384226,1.0254178306529176
2030,i150,d110,d150,75.57635729627552,100.5994556698352,67.59996166576614,117.77705576627343,0.67197144572658
2040,i005,d100,d105,11.884661690602087,175.91001726952786,188.35405097068747,192.70576079030906,1.0707409043232199
2040,i005,d105,d110,11.884661690602087,173.85509368411306,192.70576079030906,198.97753843770565,1.1084274651190078
2040,i005,d110,d120,23.769323381204,177.39379625517455,198.97753843770565,210.6185124486675,1.1216713472408226
2040,i005,d120,d135,35.65398507180623,194.99728563046233,210.6185124486675,222.9411838834983,1.0801099705962514
2040,i005,d135,d150,35.653985071806176,204.6642697588014,222.9411838834983,240.93339348655527,1.0893019291849837
2040,i010,d100,d110,23.769323381204174,164.52748440250636,183.59192511923834,193.46452927044155,1.115873896607402
2040,i010,d110,d150,95.07729352481641,184.08089726742463,193.46452927044155,227.2827675246046,1.0509755881371263
2040,i025,d100,d105,11.884661690602087,149.97016162227274,169.09405189209212,175.4877080190673,1.1275179679941028
2040,i025,d105,d110,11.884661690602087,156.0019161823364,175.4877080190673,183.51734725306866,1.1249073877653897
2040,i025,d110,d120,23.769323381204,153.66330147946869,183.51734725306866,196.49562613800407,1.1942822097805106
2040,i025,d120,d135,35.65398507180623,169.17106619670633,196.49562613800407,205.9892445424545,1.1615202915936327
2040,i025,d135,d150,35.653985071806176,181.15885142299393,205.9892445424545,219.66212221991987,1.137064200420896
2040,i050,d100,d110,23.769323381204174,129.91207230521448,144.16468467421564,155.72406793997934,1.1097096837583822
2040,i050,d110,d150,95.07729352481641,145.11892434071174,155.72406793997934,190.79652318748006,1.0730789843395525
2040,i100,d100,d105,11.884661690602087,114.72741811950947,129.30355683883167,130.9363507863222,1.1270501764812533
2040,i100,d105,d110,11.884661690602087,115.45818787917439,130.9363507863222,132.26341642743782,1.1340585989739034
2040,i100,d110,d120,23.769323381204,125.00487995490619,132.26341642743782,141.65255925510107,1.0580660249035883
2040,i100,d120,d135,35.65398507180623,121.88589866187364,141.65255925510107,144.3127813519033,1.1621734820043668
2040,i100,d135,d150,35.653985071806176,120.05102528189019,144.3127813519033,147.2523865382246,1.2020953674743253
2040,i150,d110,d150,95.07729352481641,121.97756646763794,132.26341642743796,147.25238653822464,1.0843257515104547
2050,i005,d100,d105,12.596914408678543,182.91940825145957,196.5025816138506,202.1932315703187,1.0742576935505839
2050,i005,d105,d110,12.596914408678401,179.211271005584,202.1932315703187,205.759634093857,1.1282394820134867
2050,i005,d110,d120,25.193828817356916,182.761252123043,205.759634093857,215.6935851446726,1.1258383913638896
2050,i005,d120,d135,37.790743226035374,210.0788899213736,215.6935851446726,256.43160531083106,1.026726603636379
2050,i005,d135,d150,37.790743226035374,232.354664799475,256.43160531083106,339.70944044216867,1.1036215069412736
2050,i010,d100,d110,25.193828817356945,169.99516108362963,180.6881431524093,190.12388282524915,1.0629016849692519
2050,i010,d110,d150,100.77531526942767,189.7432843818961,190.12388282524915,258.23101139949915,1.0020058598890227
2050,i025,d100,d105,12.596914408678543,158.4766767043985,173.24467924863853,179.0956289765981,1.0931872301423025
2050,i025,d105,d110,12.596914408678401,164.39453904739685,179.0956289765981,183.1747478566026,1.0894256586282514
2050,i025,d110,d120,25.193828817356916,158.023267974682,183.1747478566026,192.7346407147642,1.1591631422655446
2050,i025,d120,d135,37.790743226035374,172.88493343353497,192.7346407147642,207.61691952277593,1.1148145583713365
2050,i025,d135,d150,37.790743226035374,187.65915892023838,207.61691952277593,231.76233307963548,1.106351113995029
2050,i050,d100,d110,25.193828817356945,145.88519571200356,154.21379959055062,163.87341202843785,1.057090123764092
2050,i050,d110,d150,100.77531526942767,162.5840232935763,163.87341202843785,226.72640784807035,1.0079305992602563
2050,i100,d100,d105,12.596914408678543,123.66021308828603,132.9676527504314,137.57132418324034,1.0752662431165343
2050,i100,d105,d110,12.596914408678401,126.98838461423438,137.57132418324034,146.94266929377582,1.0833378548845616
2050,i100,d110,d120,25.193828817356916,133.08691987522877,146.94266929377582,154.78696479571178,1.1041105274022198
2050,i100,d120,d135,37.790743226035374,139.61996132048773,154.78696479571178,161.64539602421328,1.1086306236714194
2050,i100,d135,d150,37.790743226035374,146.53382477004988,161.64539602421328,169.89198175914368,1.1031268465003041
2050,i150,d110,d150,100.77531526942767,127.35379838445358,144.39509190212667,159.7858686728343,1.1338106419584684
