cell,carbon_price,demand_level,year,existing_units,existing_installed_mw,existing_retained_mw,existing_keeping_cost_aud_per_yr,existing_retired_mw,retained_mw_biomass,retained_mw_black_coal,retained_mw_brown_coal,retained_mw_gas,retained_mw_liquid_fuel,retained_mw_solar,retained_mw_water,retained_mw_wind,carried_capex_aud_per_yr,existing_fleet_fom_aud_per_yr,carried_gw,cost_per_mwh_excl_fuel_carbon,avg_cost_aud_per_mwh,delivered_twh,keeping_vs_extractor_fom_ratio
sweep_c0_d087,0,d087,2030,329,73870.4,54602.33443559182,2780588973.5327454,19268.06556440817,32.0,7062.21178186887,3370.0,1947.5062338565306,0.0,19072.443750224273,4447.390543570364,18670.78212607178,0.0,2780588973.5327454,0.0,31.400247686785555,45.52113404241751,164.2927979538681,1.0
sweep_c0_d087,0,d087,2040,308,49914.01880660947,48484.0182628887,2647806345.042129,1430.0005437207728,32.0,3900.0,1160.0,1201.401843022292,0.0,19072.443750224273,4447.390543570364,18670.78212607178,120176077.0000888,2647806345.042129,2.645,52.78301586164039,70.28787035583952,206.68520068832512,1.0
sweep_c0_d087,0,d087,2050,290,44077.91867968293,43800.44558423702,2134814432.9195683,277.47309544590826,0.0,1696.0,0.0,57.000000000000114,0.0,19043.77291459487,4447.390543570366,18556.28212607179,5502929886.689012,2134814432.9195683,32.81185461089437,66.71695609468229,79.88983130463542,219.0719307281744,1.0
sweep_c0_d100,0,d100,2030,329,73870.4,59280.70608095957,3134273841.7484584,14589.693919040423,32.0,9536.132386461484,3370.0,2456.197833858575,0.0021436880000744313,19327.146582285808,5776.5268666650045,18782.7002680007,0.0,3134273841.748459,0.0,31.09426409340768,48.72307063770528,188.9408932406889,0.9999999999999999
sweep_c0_d100,0,d100,2040,308,51344.13143427188,49794.129901814704,2775422817.779361,1550.0015324571796,32.0,3408.5611664826456,1160.0,1307.1950183805516,0.0,19327.146582285808,5776.5268666650045,18782.700268000695,120176077.0000888,2775422817.779361,2.645,57.91760521255613,76.22712745059042,237.6932338120412,1.0
sweep_c0_d100,0,d100,2050,290,45879.51582316606,45418.54348512391,2286589566.422064,460.9723380421492,0.0,1696.0,0.0,57.058530781514975,0.0,19220.7578196767,5776.526866665004,18668.200268000695,8094313688.318074,2286589566.422064,47.12222001365117,70.0378890823699,86.07663778834613,251.9382881735692,1.0
sweep_c0_d110,0,d110,2030,329,73870.4,63720.61733321835,3315251102.8354616,10149.78266678164,32.0,11492.338753450042,3370.0,4387.95814444715,0.0028957946496375076,19518.352978840245,5407.764560686261,19512.2,0.0,3315251102.835461,0.0,30.750085635834985,50.85045804515413,207.83498256475784,1.0000000000000002
sweep_c0_d110,0,d110,2040,308,54318.87093144651,52768.8664356258,2857268481.0471277,1550.0044958207072,32.0,3900.0,1160.0,3238.548896099301,0.0,19518.352978840245,5407.76456068626,19512.199999999997,127241392.72642396,2857268481.047128,2.690413233551599,57.446375233724176,78.76291952261913,261.4625571932453,0.9999999999999998
sweep_c0_d110,0,d110,2050,290,47874.751568808075,47212.88543959861,2312720633.4953947,661.8661292094621,0.0,1695.9999999999973,0.0,1442.4340292815702,0.0,19268.986849630786,5407.764560686259,19397.699999999997,9068397197.93605,2312720633.4953947,52.00397085637679,70.98572628844136,89.14227658715319,277.13211699092614,1.0
sweep_c0_d123,0,d123,2030,329,73870.4,66918.01489197955,3470773312.541961,6952.385108020448,32.0,11915.0,3370.0,6880.028430012349,123.62962281609109,19599.6,5485.556839151092,19512.2,0.0,3470773312.5419617,0.0,31.136040588360608,54.47101068972051,233.29514581072715,0.9999999999999999
