run_id,demand_level,cap_key,year,trace_directory,cap_t,share_min,solver_options,model_status,objective_value,pdlp_gap_rel,lp_rows,solve_s,wall_clock_s,network_path,record_path
idm_d120_i025_2050,d120,i025,2050,traces_d120,7210778.489772375,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,21206066400.0,,12646736,28988.52278660005,29608.72847829992,analysis\benchmarks\runs_myopic\idm_d120_i025_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d120_i025_2050.json
idm_d120_i100_2030,d120,i100,2030,traces_d120,89648133.48809224,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,5071041650.0,,12030866,3086.070215600077,3705.212698500138,analysis\benchmarks\runs_myopic\idm_d120_i100_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d120_i100_2030.json
idm_d120_i100_2040,d120,i100,2040,traces_d120,51831378.196171954,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,19346835000.0,,12598724,8146.099768400192,8759.862291300204,analysis\benchmarks\runs_myopic\idm_d120_i100_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d120_i100_2040.json
idm_d120_i100_2050,d120,i100,2050,traces_d120,28843113.9590895,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,16900599200.0,,12646736,13431.659403799567,14034.563020799775,analysis\benchmarks\runs_myopic\idm_d120_i100_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d120_i100_2050.json
idm_d135_i005_2030,d135,i005,2030,traces_d135,5042707.508705189,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,21223880500.0,,12030866,10442.660811499692,11044.342135299928,analysis\benchmarks\runs_myopic\idm_d135_i005_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d135_i005_2030.json
idm_d135_i005_2040,d135,i005,2040,traces_d135,2915515.0235346733,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,36718419100.0,,12598724,15706.3209241,16317.760126099922,analysis\benchmarks\runs_myopic\idm_d135_i005_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d135_i005_2040.json
idm_d135_i005_2050,d135,i005,2050,traces_d135,1622425.1601987844,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,34892583700.0,,12646736,4291.837538100313,4925.4720300002955,analysis\benchmarks\runs_myopic\idm_d135_i005_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d135_i005_2050.json
idm_d135_i025_2030,d135,i025,2030,traces_d135,25213537.543525945,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,14542340900.0,,12030866,21810.31387169985,22419.675664999988,analysis\benchmarks\runs_myopic\idm_d135_i025_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d135_i025_2030.json
idm_d135_i025_2040,d135,i025,2040,traces_d135,14577575.117673364,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,30698357600.0,,12598724,15421.900926799979,16339.477019700222,analysis\benchmarks\runs_myopic\idm_d135_i025_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d135_i025_2040.json
idm_d135_i025_2050,d135,i025,2050,traces_d135,8112125.800993922,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,28276737800.0,,12646736,32030.2067987998,32665.97373470012,analysis\benchmarks\runs_myopic\idm_d135_i025_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d135_i025_2050.json
