sweep_id,carbon_price_aud_per_tco2e,tns_price_aud_per_tco2,year,cost_per_mwh_excl_fuel_carbon,co2_t_per_mwh,co2e_total_t_per_mwh,gj_per_mwh_coal,gj_per_mwh_natural_gas,gj_per_mwh_biomass,annual_generation_twh,solve_gap_rel,solve_pinf_rel,solve_dinf_rel,solve_iterations,solve_wall_s,solve_model_status,tolerance_robust,carried_capex_aud_per_yr,carried_vintages,carried_gw,existing_fleet_fom_aud_per_yr,existing_fleet_active_gw,renewable_share_pct_bulk_grid,diagnostic_cost_per_mwh_year_t_incremental,diagnostic_bundled_cost_per_mwh,diagnostic_fuel_cost_per_mwh,diagnostic_carbon_cost_per_mwh,cell,carbon_price,demand_level,demand_scalar,avg_cost_aud_per_mwh,delivered_twh,total_cost_aud_per_yr,co2e_total_kt_per_yr,gj_per_mwh_diesel,total_twh,twh_Biomass,share_Biomass,twh_Black Coal,share_Black Coal,twh_Brown Coal,share_Brown Coal,twh_Gas,share_Gas,twh_Liquid Fuel,share_Liquid Fuel,twh_Solar,share_Solar,twh_Unserved Energy,share_Unserved Energy,twh_Water,share_Water,twh_Wind,share_Wind,renewable_fraction_pct,use_mwh,gw_Biomass,gw_Black Coal,gw_Brown Coal,gw_Gas,gw_Solar,gw_Unserved Energy,gw_Water,gw_Wind,gw_Liquid Fuel
sweep_c0_d087,0.0,89.93,2030,31.400247686785555,0.318201559922512,0.3191985431181777,3.442524437639701,0.0620237674647676,0.0245383920730267,164.2927979538681,0.00211,0.00185,1.28e-07,21040,7921.439174099825,Unknown,True,0.0,0,0.0,2780588973.5327454,75.2711544355918,68.75415735630898,14.475653254389869,28.596539610021825,14.120886355631953,0.0,sweep_c0_d087,0,d087,0.869546,45.52113404241751,164.2927979538681,7478794477.861847,52442.021751683824,,168.13851579861864,0.22990974908188463,0.13673830055526962,32.8090621987875,19.51311514970388,18.11775794151506,10.775495344097658,1.6094759295714183,0.9572321498895026,0.0,0.0,42.83101540027929,25.47364903088503,0.0,0.0,12.994155090140218,7.728244197006866,59.54713948924328,35.4155258278618,68.75415735630897,0.0,0.032,7.0622117818688706,3.37,1.947406106929991,19.07050273279741,1500.0,4.447335427716521,18.6705,0.0
sweep_c0_d087,0.0,89.93,2040,52.78301586164039,0.205705499255972,0.206321869142841,1.7482832230054366,0.905187528011265,0.0206622010380828,206.68520068832512,0.00229,0.000243,8.31e-06,31640,12178.096865799977,Unknown,True,120176077.0000888,1,2.645,2647806345.042129,68.8058382628887,72.91296274056903,39.39075355730516,56.89560805150428,17.504854494199122,0.0,sweep_c0_d087,0,d087,0.869546,70.28787035583952,206.68520068832512,14527462590.45167,42643.67693017845,,213.9917831595909,0.24354472303529534,0.11381031525573317,25.68915562746396,12.004739269967898,7.9428227622283885,3.711741939317729,24.33205564686678,11.370556050145348,0.0,0.0,64.89694971856093,30.326841881663302,0.0,0.0,12.76941324953494,5.967244658180058,78.1178414319006,36.505065885469925,72.91296274056901,0.0,0.032,3.9,1.16,10.111508668993332,28.82162437431569,1500.0,4.447335427716521,27.069464073577723,0.0
sweep_c0_d087,0.0,89.93,2050,66.71695609468229,0.0883516000436397,0.0885814968294503,0.4640569669468971,0.9063558163853592,0.0003874465413852,219.0719307281744,0.00299,0.00217,6.56e-07,33120,12572.534486099845,Unknown,True,5502929886.689012,2,32.81185461089437,2134814432.9195683,57.249045584237024,84.02098719490837,31.852862396227,45.02573760618012,13.172875209953128,0.0,sweep_c0_d087,0,d087,0.869546,79.88983130463542,219.0719307281744,17501619589.454628,19405.71953721934,,227.42142629416156,0.004840511815339003,0.0021284326170208662,10.328153413811327,4.541416163863218,0.0,0.0,26.01154541525474,11.437596641228398,0.0,0.0,70.98474058850132,31.21286404064896,0.0,0.0,9.854638328476618,4.333205753326863,110.23750803630223,48.47278896831555,84.02098719490839,0.0,0.0,1.696,0.0,11.813437292777742,34.5975041760038,1500.0,4.447335427716523,32.93414726573655,0.0
sweep_c0_d100,0.0,89.93,2030,31.094264093407677,0.3941903227094847,0.395397611524868,4.266634067531284,0.0869085090487178,0.0228421291081177,188.9408932406889,0.00299,0.000124,2.18e-08,25640,9265.67985319998,Unknown,True,0.0,0,0.0,3134273841.748459,79.94952608095956,60.76027627893612,14.505616776303295,32.134423320600895,17.6288065442976,0.0,sweep_c0_d100,0,d100,1.0,48.72307063770528,188.9408932406889,9205780487.717216,74706.77790674347,1.1113612163783366e-06,192.82580284998812,0.24612476044114562,0.1276409882927454,50.25919392788629,26.064558365659302,22.9922078848316,11.923823235793165,2.4128879590931094,1.2513304357769244,2.2529447662002706e-05,1.1683834491553937e-05,43.820091885252516,22.725222059281684,0.0,0.0,12.989383760341179,6.7363307028191,60.10589014269462,31.171082528542588,60.76027627893612,0.0,0.032,9.536132386461484,3.37,2.456,19.32685898184835,1500.0,5.776526866665004,18.782351601190225,0.0
sweep_c0_d100,0.0,89.93,2040,57.91760521255613,0.1811745386231134,0.1817166373260412,1.390109099168474,1.0571864629269314,0.0175510741305623,237.69323381204117,0.00295,0.000596,3.28e-06,19080,7307.30537889991,Unknown,True,120176077.0000888,1,2.645,2775422817.779361,70.11594990181469,74.15500773270472,45.73552140503311,64.0450436430674,18.309522238034283,0.0,sweep_c0_d100,0,d100,1.0,76.22712745059042,237.69323381204117,18118672427.93345,43192.8151634766,,245.91537251034813,0.2379103194450667,0.0967447935509015,21.689293672309923,8.819820188913662,8.596361536426512,3.4956584652164344,33.27115380065343,13.529513613165186,0.0,0.0,78.41422142908363,31.886669234467625,0.0,0.0,12.774287320892098,5.194586735465085,90.9321444315375,36.977006969221115,74.15500773270472,0.0,0.032,3.4085611664826456,1.16,11.912930587132008,35.024871124210215,1500.0,5.776526866665004,31.10744231340484,0.0
sweep_c0_d100,0.0,89.93,2050,70.0378890823699,0.0951025028894484,0.0954040311756109,0.4039771326552706,1.1428973339481163,0.0311100202848921,251.9382881735692,0.00295,0.00116,9.24e-07,26640,10382.76918399986,Unknown,True,8094313688.318074,2,47.12222001365117,2286589566.422064,58.86714348512391,81.36211402271003,28.83373813732432,44.87248684330055,16.038748705976232,0.0,sweep_c0_d100,0,d100,1.0,86.07663778834613,251.9382881735692,21686000776.132286,24035.928299241237,,260.9590487889511,0.4469791123937524,0.17128323944621815,10.34053175806129,3.9625112852185964,0.0,0.0,38.29671820264389,14.67537469207136,0.0,0.0,77.83189170248227,29.82532779134564,0.0,0.0,9.845090734780394,3.7726573500589917,124.19783727858953,47.59284564185919,81.36211402271005,0.0,0.05677802199629977,1.696,0.0,14.249502241125551,38.441925365397964,1500.0,5.776526866665003,36.97385666266714,0.0
sweep_c0_d110,0.0,89.93,2030,30.750085635834985,0.4312732405758729,0.4325710397137297,4.635997001511022,0.1662397838184037,0.0211611374035542,207.83498256475784,0.00298,6.49e-05,7.9e-08,26200,9725.97649050015,Unknown,True,0.0,0,0.0,3315251102.835461,84.38943733321834,56.158749789334,14.79872334867774,34.89909575799689,20.10037240931915,0.0,sweep_c0_d110,0,d110,1.1,50.850458045154134,207.83498256475784,10568504061.22456,89903.39449692218,1.1919368571508449e-06,211.68303189227373,0.2508132159837545,0.11848527193780664,64.29549234276371,30.37347479767954,24.240010667233165,11.451088190936813,4.268959288292386,2.016675238507012,2.53671264028471e-05,1.1983542646798692e-05,44.24950801182061,20.903663187486536,0.0,0.0,12.989397030683627,6.136248576264713,61.3888259683701,29.000352753644936,56.158749789333996,0.0,0.032,11.492338753450042,3.37,4.387534029281569,19.51818377880691,1500.0,5.40776456068626,19.5122,0.0
sweep_c0_d110,0.0,89.93,2040,57.446375233724176,0.192497642365588,0.1930614883979524,1.3847359680753402,1.28977544431706,0.0154401466025839,261.4625571932453,0.00274,0.00016,3.65e-06,30760,11422.9625866001,Unknown,True,127241392.72642396,1,2.690413233551599,2857268481.047128,73.0906864356258,70.96489523498761,46.03170115644236,67.34824544533731,21.316544288894956,0.0,sweep_c0_d110,0,d110,1.1,78.76291952261913,261.4625571932453,20593554350.38978,50478.35045206269,,270.3640131224133,0.23022563755873468,0.085153950372269,24.804229170868357,9.174382671867535,8.640731261203547,3.1959620518324168,45.055514024912654,16.664760041312437,0.0,0.0,84.08188930914142,31.09951222357077,0.0,0.0,12.76922063124168,4.722973477043386,94.78220308748695,35.05725558400118,70.96489523498761,0.0,0.032,3.9,1.16,14.4888966075025,37.32500488714606,1500.0,5.407764560686259,32.817092502966,0.0
sweep_c0_d110,0.0,89.93,2050,70.98572628844136,0.0990074780016934,0.0994557682114253,0.3473408127159738,1.3180402579160275,0.1075468642791781,277.13211699092614,0.003,0.00115,1.96e-06,34160,12384.847695700126,Unknown,True,9068397197.93605,2,52.00397085637679,2312720633.4953947,60.66148543959861,79.60285366462672,29.91824571272705,48.074796011438885,18.15655029871183,0.0,sweep_c0_d110,0,d110,1.1,89.14227658715319,277.13211699092614,24704187823.988434,27562.387591391147,,287.1439624487107,1.6997199502162126,0.5919399926508344,9.781613151526283,3.4065188305233693,0.0,0.0,48.78756106232652,16.990627504849904,0.0,0.0,85.52408341254781,29.784392011315237,0.0,0.0,9.844884941749813,3.42855369752317,131.50609993034408,45.797967963137495,79.60285366462674,0.0,0.21782753435001298,1.6959999999999973,0.0,16.34481856017741,42.16402693084325,1500.0,5.4077645606862585,39.300819267838754,0.0
sweep_c0_d123,0.0,89.93,2030,31.136040588360608,0.4524111495422374,0.4537535695383831,4.754304971453951,0.3762583202165164,0.0190602814789096,233.29514581072715,0.00298,0.000167,9.39e-08,34880,12487.359482999893,Unknown,True,0.0,0,0.0,3470773312.5419617,87.58683489197952,52.50152868353314,16.25886300937314,39.59383311073304,23.3349701013599,0.0,sweep_c0_d123,0,d123,1.234752,54.47101068972051,233.29514581072715,12707822381.316025,105858.505167595,0.0002569027017388,237.54980827154466,0.2535874594339095,0.10675127935444682,77.03271186407734,32.42802527376523,25.603085490456603,10.777986173404761,10.190716191280746,4.289928190399411,0.006013998366963291,0.002531678897458276,45.24983177624484,19.048565900974953,0.0,0.0,12.984082974766809,5.465836015293527,66.22977851691743,27.880375487910207,52.50152868353314,0.0,0.032,11.915,3.37,7.094670964961014,19.93624285298683,1500.0,5.4855568391510925,20.496405878346728,0.123
