cell,year,carrier,duration_class,power_gw,energy_gwh,units
sweep_c0_d110,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c0_d110,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c0_d110,2050,Water,5_over8to24h,3.378,62.802,3.0
sweep_c0_d110,2050,Water,6_over24h,2.2,349.8,1.0
sweep_c0_d123,2030,Battery,1_under_2h,5.164978164429977,7.725858164429976,32.0
sweep_c0_d123,2030,Battery,2_2to4h,6.998175514594252,17.904651029188507,38.0
sweep_c0_d123,2030,Battery,3_4to8h,1.7377357537341387,8.143743014936554,9.0
sweep_c0_d123,2030,Battery,4_8h,0.65,5.2,4.0
sweep_c0_d123,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c0_d123,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c0_d123,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c0_d123,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c0_d123,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c0_d123,2040,Battery,1_under_2h,5.019139519100226,7.488919519100225,31.0
sweep_c0_d123,2040,Battery,2_2to4h,6.912231018755705,17.732762037511414,38.0
sweep_c0_d123,2040,Battery,3_4to8h,1.7865533808337637,8.339013523335053,18.0
sweep_c0_d123,2040,Battery,4_8h,9.995315058730077,79.96252046984061,19.0
sweep_c0_d123,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c0_d123,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c0_d123,2040,Water,5_over8to24h,3.378,62.802,3.0
sweep_c0_d123,2040,Water,6_over24h,2.2,349.8,1.0
sweep_c0_d123,2050,Battery,1_under_2h,2.697352571847182,4.4607525718471805,24.0
sweep_c0_d123,2050,Battery,2_2to4h,3.180979448671153,8.237158897342306,30.0
sweep_c0_d123,2050,Battery,3_4to8h,1.504241829881167,7.1929673195246675,26.0
sweep_c0_d123,2050,Battery,4_8h,17.49921510266792,139.99372082134337,30.0
sweep_c0_d123,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c0_d123,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c0_d123,2050,Water,5_over8to24h,3.378,62.802,3.0
sweep_c0_d123,2050,Water,6_over24h,2.2,349.8,1.0
sweep_c150_d087,2030,Battery,1_under_2h,5.163320000000001,7.724199999999999,31.0
sweep_c150_d087,2030,Battery,2_2to4h,6.9935,17.8953,37.0
sweep_c150_d087,2030,Battery,3_4to8h,1.7258000000000002,8.096,8.0
sweep_c150_d087,2030,Battery,4_8h,0.7323051636761018,5.858441309408814,7.0
sweep_c150_d087,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c150_d087,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d087,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d087,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d087,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c150_d087,2040,Battery,1_under_2h,5.023787244216197,7.493567244216197,34.0
sweep_c150_d087,2040,Battery,2_2to4h,6.921804294924916,17.751908589849833,41.0
sweep_c150_d087,2040,Battery,3_4to8h,1.8170262888588815,8.460905155435526,19.0
sweep_c150_d087,2040,Battery,4_8h,7.226973395830969,57.81578716664775,22.0
sweep_c150_d087,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d087,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d087,2040,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d087,2040,Water,6_over24h,2.2,349.8,1.0
sweep_c150_d087,2050,Battery,1_under_2h,2.6796071686173377,4.443007168617337,25.0
sweep_c150_d087,2050,Battery,2_2to4h,3.1715716561970324,8.218343312394065,30.0
sweep_c150_d087,2050,Battery,3_4to8h,1.5215013488696847,7.262005395478738,24.0
sweep_c150_d087,2050,Battery,4_8h,12.672956730880475,101.3836538470438,31.0
sweep_c150_d087,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d087,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d087,2050,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d087,2050,Water,6_over24h,2.2,349.8,1.0
sweep_c150_d100,2030,Battery,1_under_2h,5.164463979012384,7.725343979012383,32.0
sweep_c150_d100,2030,Battery,2_2to4h,6.994791842748827,17.897883685497654,38.0
sweep_c150_d100,2030,Battery,3_4to8h,1.7313699594421832,8.118279837768732,12.0
sweep_c150_d100,2030,Battery,4_8h,1.0873904634103637,8.69912370728291,13.0
sweep_c150_d100,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c150_d100,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d100,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d100,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d100,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c150_d100,2040,Battery,1_under_2h,4.998465536612062,7.468245536612061,30.0
sweep_c150_d100,2040,Battery,2_2to4h,6.892441794046543,17.693183588093085,43.0
sweep_c150_d100,2040,Battery,3_4to8h,1.7585146541250074,8.226858616500031,24.0
sweep_c150_d100,2040,Battery,4_8h,8.244779780117957,65.95823824094366,28.0
sweep_c150_d100,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d100,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d100,2040,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d100,2040,Water,6_over24h,2.2,349.8,1.0
sweep_c150_d100,2050,Battery,1_under_2h,2.6595691627072187,4.4229691627072185,20.0
sweep_c150_d100,2050,Battery,2_2to4h,3.151023762063419,8.177247524126837,33.0
sweep_c150_d100,2050,Battery,3_4to8h,1.4835743206365641,7.110297282546257,33.0
sweep_c150_d100,2050,Battery,4_8h,14.970919418309519,119.76735534647615,31.0
sweep_c150_d100,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d100,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d100,2050,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d100,2050,Water,6_over24h,2.2016321499442726,349.8783431973251,2.0
sweep_c150_d110,2030,Battery,1_under_2h,5.164390889694523,7.725270889694523,32.0
sweep_c150_d110,2030,Battery,2_2to4h,6.9935,17.8953,37.0
sweep_c150_d110,2030,Battery,3_4to8h,1.7268804188363829,8.100321675345532,9.0
sweep_c150_d110,2030,Battery,4_8h,1.2781919371005301,10.225535496804241,13.0
sweep_c150_d110,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c150_d110,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d110,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d110,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d110,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c150_d110,2040,Battery,1_under_2h,5.00349478232215,7.47327478232215,30.0
sweep_c150_d110,2040,Battery,2_2to4h,6.894878032793973,17.698056065587945,38.0
sweep_c150_d110,2040,Battery,3_4to8h,1.7794539647585847,8.31061585903434,16.0
sweep_c150_d110,2040,Battery,4_8h,10.727642802622245,85.82114242097796,28.0
sweep_c150_d110,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d110,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d110,2040,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d110,2040,Water,6_over24h,2.2,349.8,1.0
sweep_c150_d110,2050,Battery,1_under_2h,2.681023171248868,4.444423171248868,24.0
sweep_c150_d110,2050,Battery,2_2to4h,3.171051999028573,8.217303998057146,32.0
sweep_c150_d110,2050,Battery,3_4to8h,1.5162001944055685,7.240800777622275,28.0
sweep_c150_d110,2050,Battery,4_8h,18.470877422716093,147.76701938172874,31.0
sweep_c150_d110,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d110,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d110,2050,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d110,2050,Water,6_over24h,2.207965869751009,350.18236174804844,2.0
sweep_c150_d123,2030,Battery,1_under_2h,5.163320000000001,7.724199999999999,31.0
sweep_c150_d123,2030,Battery,2_2to4h,6.9935,17.8953,37.0
sweep_c150_d123,2030,Battery,3_4to8h,1.7269487960471526,8.10059518418861,9.0
sweep_c150_d123,2030,Battery,4_8h,2.438243508497566,19.50594806798053,13.0
sweep_c150_d123,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c150_d123,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d123,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d123,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d123,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c150_d123,2040,Battery,1_under_2h,5.002789363569346,7.472569363569346,30.0
sweep_c150_d123,2040,Battery,2_2to4h,6.895569697676263,17.699439395352524,39.0
