cell,run_id,carbon_price,demand_level,demand_scalar,year,trace_directory,realised_demand_ratio,rep_weeks,named_weeks,resolution_min,solver_options,model_status,pdlp_gap_rel,pdlp_pinf_rel,pdlp_dinf_rel,pdlp_iterations,objective_value,lp_rows,solve_s,wall_clock_s,network_path,record_path
sweep_c0_d123,sweep_c0_d123_2040,0,d123,1.234752,2040,traces_d123,1.234752,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.003,0.00074,2.22e-06,18680,19441132821.0,12760339,7177.28499220009,7768.190108799841,analysis\benchmarks\runs_myopic\sweep_c0_d123_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d123_2040.json
sweep_c0_d123,sweep_c0_d123_2050,0,d123,1.234752,2050,traces_d123,1.234752,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00297,0.00158,2.59e-06,24640,14183613798.0,12860767,9194.035124600166,9798.557141399942,analysis\benchmarks\runs_myopic\sweep_c0_d123_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d123_2050.json
sweep_c150_d087,sweep_c150_d087_2030,150,d087,0.869546,2030,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00297,0.000655,3.88e-07,36560,5610686158.0,12030865,13446.109865899896,14038.601226400118,analysis\benchmarks\runs_myopic\sweep_c150_d087_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d087_2030.json
sweep_c150_d087,sweep_c150_d087_2040,150,d087,0.869546,2040,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00268,0.00133,5.9e-07,22920,9466818649.6,12926323,9144.607021400006,9734.392383400118,analysis\benchmarks\runs_myopic\sweep_c150_d087_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d087_2040.json
sweep_c150_d087,sweep_c150_d087_2050,150,d087,0.869546,2050,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00286,7.65e-05,7.63e-06,35800,6838555085.4,13245151,13758.462177000009,14383.31307020015,analysis\benchmarks\runs_myopic\sweep_c150_d087_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d087_2050.json
sweep_c150_d100,sweep_c150_d100_2030,150,d100,1.0,2030,traces_d100,1.0,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.003,0.000159,1.84e-07,27760,8711313616.1,12030865,10354.996139099821,10949.11645089998,analysis\benchmarks\runs_myopic\sweep_c150_d100_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d100_2030.json
sweep_c150_d100,sweep_c150_d100_2040,150,d100,1.0,2040,traces_d100,1.0,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00224,0.00113,1.29e-06,37120,12262616647.0,13380595,15039.261372900102,15638.58604110009,analysis\benchmarks\runs_myopic\sweep_c150_d100_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d100_2040.json
sweep_c150_d100,sweep_c150_d100_2050,150,d100,1.0,2050,traces_d100,1.0,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00294,0.000565,1.21e-05,24880,9324398330.2,13170895,10100.438843799988,10690.353833199944,analysis\benchmarks\runs_myopic\sweep_c150_d100_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d100_2050.json
sweep_c150_d110,sweep_c150_d110_2030,150,d110,1.1,2030,traces_d110,1.1,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00283,0.00053,6.1e-07,17640,11204203583.0,12030865,6493.359129900113,7090.182151500136,analysis\benchmarks\runs_myopic\sweep_c150_d110_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d110_2030.json
sweep_c150_d110,sweep_c150_d110_2040,150,d110,1.1,2040,traces_d110,1.1,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00289,0.000478,2.12e-06,23960,14724542745.0,13328179,9812.31243359996,10410.93461919995,analysis\benchmarks\runs_myopic\sweep_c150_d110_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d110_2040.json
sweep_c150_d110,sweep_c150_d110_2050,150,d110,1.1,2050,traces_d110,1.1,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00298,0.000685,7.69e-06,21320,11371022661.0,13018015,8329.611530499998,8912.735802900046,analysis\benchmarks\runs_myopic\sweep_c150_d110_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d110_2050.json
sweep_c150_d123,sweep_c150_d123_2030,150,d123,1.234752,2030,traces_d123,1.234752,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00292,0.000538,3.33e-07,17840,14835343984.0,12030865,6668.722150000045,7231.893750200048,analysis\benchmarks\runs_myopic\sweep_c150_d123_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d123_2030.json
sweep_c150_d123,sweep_c150_d123_2040,150,d123,1.234752,2040,traces_d123,1.234752,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00299,0.000295,1.53e-06,24480,18526349115.0,13350019,9973.051110600121,10569.028156300075,analysis\benchmarks\runs_myopic\sweep_c150_d123_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d123_2040.json
sweep_c150_d123,sweep_c150_d123_2050,150,d123,1.234752,2050,traces_d123,1.234752,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00295,0.000814,3.29e-06,16360,15122635933.0,13170895,6543.220254200045,7118.298843499972,analysis\benchmarks\runs_myopic\sweep_c150_d123_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c150_d123_2050.json
sweep_c300_d087,sweep_c300_d087_2030,300,d087,0.869546,2030,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00275,0.00124,9.34e-07,23920,6694233418.3,12030865,8636.552940900205,9248.32690580003,analysis\benchmarks\runs_myopic\sweep_c300_d087_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d087_2030.json
sweep_c300_d087,sweep_c300_d087_2040,300,d087,0.869546,2040,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.0029,0.000708,2.02e-06,21960,9991666070.4,13367491,9061.148424699903,9660.60692720022,analysis\benchmarks\runs_myopic\sweep_c300_d087_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d087_2040.json
sweep_c300_d087,sweep_c300_d087_2050,300,d087,0.869546,2050,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.003,8.73e-05,2.69e-06,39000,6535946827.8,13524703,15262.01564460015,15877.57638779981,analysis\benchmarks\runs_myopic\sweep_c300_d087_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d087_2050.json
sweep_c300_d100,sweep_c300_d100_2030,300,d100,1.0,2030,traces_d100,1.0,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00286,0.00147,5.26e-07,25480,10288801480.0,12030865,9326.30565460003,9894.822166899918,analysis\benchmarks\runs_myopic\sweep_c300_d100_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d100_2030.json
sweep_c300_d100,sweep_c300_d100_2040,300,d100,1.0,2040,traces_d100,1.0,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00264,0.000735,3.03e-06,20680,12696271753.0,13664515,8299.709037799854,8885.357988800388,analysis\benchmarks\runs_myopic\sweep_c300_d100_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d100_2040.json
