scenario,series,financial_year_ending,value,unit
Slower Growth,Flow path O&M costs,2049,231613,$000 real Jul-2023
Slower Growth,Flow path O&M costs,2050,230380,$000 real Jul-2023
Slower Growth,REZ capital costs,2027,0,$000 real Jul-2023
Slower Growth,REZ capital costs,2028,0,$000 real Jul-2023
Slower Growth,REZ capital costs,2029,0,$000 real Jul-2023
Slower Growth,REZ capital costs,2030,0,$000 real Jul-2023
Slower Growth,REZ capital costs,2031,35311,$000 real Jul-2023
Slower Growth,REZ capital costs,2032,104039,$000 real Jul-2023
Slower Growth,REZ capital costs,2033,139278,$000 real Jul-2023
Slower Growth,REZ capital costs,2034,173943,$000 real Jul-2023
Slower Growth,REZ capital costs,2035,177587,$000 real Jul-2023
Slower Growth,REZ capital costs,2036,182300,$000 real Jul-2023
Slower Growth,REZ capital costs,2037,184068,$000 real Jul-2023
Slower Growth,REZ capital costs,2038,185344,$000 real Jul-2023
Slower Growth,REZ capital costs,2039,205615,$000 real Jul-2023
Slower Growth,REZ capital costs,2040,205615,$000 real Jul-2023
Slower Growth,REZ capital costs,2041,208047,$000 real Jul-2023
Slower Growth,REZ capital costs,2042,208047,$000 real Jul-2023
Slower Growth,REZ capital costs,2043,209423,$000 real Jul-2023
Slower Growth,REZ capital costs,2044,209423,$000 real Jul-2023
Slower Growth,REZ capital costs,2045,209843,$000 real Jul-2023
Slower Growth,REZ capital costs,2046,209843,$000 real Jul-2023
Slower Growth,REZ capital costs,2047,209843,$000 real Jul-2023
Slower Growth,REZ capital costs,2048,210952,$000 real Jul-2023
Slower Growth,REZ capital costs,2049,210952,$000 real Jul-2023
Slower Growth,REZ capital costs,2050,211081,$000 real Jul-2023
Slower Growth,REZ O&M costs,2027,0,$000 real Jul-2023
Slower Growth,REZ O&M costs,2028,0,$000 real Jul-2023
Slower Growth,REZ O&M costs,2029,0,$000 real Jul-2023
Slower Growth,REZ O&M costs,2030,0,$000 real Jul-2023
Slower Growth,REZ O&M costs,2031,9085,$000 real Jul-2023
Slower Growth,REZ O&M costs,2032,26769,$000 real Jul-2023
Slower Growth,REZ O&M costs,2033,35836,$000 real Jul-2023
Slower Growth,REZ O&M costs,2034,44906,$000 real Jul-2023
Slower Growth,REZ O&M costs,2035,45844,$000 real Jul-2023
Slower Growth,REZ O&M costs,2036,47125,$000 real Jul-2023
Slower Growth,REZ O&M costs,2037,47618,$000 real Jul-2023
Slower Growth,REZ O&M costs,2038,47991,$000 real Jul-2023
Slower Growth,REZ O&M costs,2039,53253,$000 real Jul-2023
Slower Growth,REZ O&M costs,2040,53303,$000 real Jul-2023
Slower Growth,REZ O&M costs,2041,53971,$000 real Jul-2023
Slower Growth,REZ O&M costs,2042,54017,$000 real Jul-2023
Slower Growth,REZ O&M costs,2043,54431,$000 real Jul-2023
Slower Growth,REZ O&M costs,2044,54496,$000 real Jul-2023
Slower Growth,REZ O&M costs,2045,54646,$000 real Jul-2023
Slower Growth,REZ O&M costs,2046,54705,$000 real Jul-2023
Slower Growth,REZ O&M costs,2047,54765,$000 real Jul-2023
Slower Growth,REZ O&M costs,2048,55137,$000 real Jul-2023
Slower Growth,REZ O&M costs,2049,55190,$000 real Jul-2023
Slower Growth,REZ O&M costs,2050,55295,$000 real Jul-2023
Slower Growth,Distribution capital costs,2027,0,$000 real Jul-2023
Slower Growth,Distribution capital costs,2028,0,$000 real Jul-2023
Slower Growth,Distribution capital costs,2029,0,$000 real Jul-2023
Slower Growth,Distribution capital costs,2030,0,$000 real Jul-2023
Slower Growth,Distribution capital costs,2031,161,$000 real Jul-2023
Slower Growth,Distribution capital costs,2032,161,$000 real Jul-2023
Slower Growth,Distribution capital costs,2033,432,$000 real Jul-2023
Slower Growth,Distribution capital costs,2034,432,$000 real Jul-2023
Slower Growth,Distribution capital costs,2035,3649,$000 real Jul-2023
Slower Growth,Distribution capital costs,2036,7810,$000 real Jul-2023
Slower Growth,Distribution capital costs,2037,15133,$000 real Jul-2023
Slower Growth,Distribution capital costs,2038,15412,$000 real Jul-2023
Slower Growth,Distribution capital costs,2039,16261,$000 real Jul-2023
Slower Growth,Distribution capital costs,2040,18474,$000 real Jul-2023
Slower Growth,Distribution capital costs,2041,20305,$000 real Jul-2023
Slower Growth,Distribution capital costs,2042,21463,$000 real Jul-2023
Slower Growth,Distribution capital costs,2043,22685,$000 real Jul-2023
Slower Growth,Distribution capital costs,2044,23435,$000 real Jul-2023
Slower Growth,Distribution capital costs,2045,25095,$000 real Jul-2023
Slower Growth,Distribution capital costs,2046,28282,$000 real Jul-2023
Slower Growth,Distribution capital costs,2047,28716,$000 real Jul-2023
Slower Growth,Distribution capital costs,2048,32436,$000 real Jul-2023
Slower Growth,Distribution capital costs,2049,35719,$000 real Jul-2023
Slower Growth,Distribution capital costs,2050,41606,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2027,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2028,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2029,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2030,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2031,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2032,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2033,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2034,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2035,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2036,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2037,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2038,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2039,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2040,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2041,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2042,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2043,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2044,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2045,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2046,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2047,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2048,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2049,0,$000 real Jul-2023
Slower Growth,Distribution O&M costs,2050,0,$000 real Jul-2023
Slower Growth,System security costs,2027,0,$000 real Jul-2023
Slower Growth,System security costs,2028,8795,$000 real Jul-2023
Slower Growth,System security costs,2029,36012,$000 real Jul-2023
Slower Growth,System security costs,2030,121166,$000 real Jul-2023
Slower Growth,System security costs,2031,121166,$000 real Jul-2023
Slower Growth,System security costs,2032,130931,$000 real Jul-2023
Slower Growth,System security costs,2033,134168,$000 real Jul-2023
Slower Growth,System security costs,2034,144469,$000 real Jul-2023
Slower Growth,System security costs,2035,153344,$000 real Jul-2023
Slower Growth,System security costs,2036,164152,$000 real Jul-2023
Slower Growth,System security costs,2037,175843,$000 real Jul-2023
Slower Growth,System security costs,2038,183683,$000 real Jul-2023
Slower Growth,System security costs,2039,196097,$000 real Jul-2023
Slower Growth,System security costs,2040,206372,$000 real Jul-2023
Slower Growth,System security costs,2041,216172,$000 real Jul-2023
Slower Growth,System security costs,2042,235309,$000 real Jul-2023
Slower Growth,System security costs,2043,254296,$000 real Jul-2023
Slower Growth,System security costs,2044,262702,$000 real Jul-2023
Slower Growth,System security costs,2045,268077,$000 real Jul-2023
Slower Growth,System security costs,2046,277777,$000 real Jul-2023
Slower Growth,System security costs,2047,297386,$000 real Jul-2023
Slower Growth,System security costs,2048,302634,$000 real Jul-2023
Slower Growth,System security costs,2049,303212,$000 real Jul-2023
Slower Growth,System security costs,2050,308154,$000 real Jul-2023
Slower Growth,Emissions costs,2027,8388477,$000 real Jul-2023
Slower Growth,Emissions costs,2028,7512921,$000 real Jul-2023
Slower Growth,Emissions costs,2029,5078894,$000 real Jul-2023
Slower Growth,Emissions costs,2030,3071368,$000 real Jul-2023
Slower Growth,Emissions costs,2031,3225155,$000 real Jul-2023
Slower Growth,Emissions costs,2032,3361821,$000 real Jul-2023
Slower Growth,Emissions costs,2033,3645224,$000 real Jul-2023
Slower Growth,Emissions costs,2034,3499937,$000 real Jul-2023
Slower Growth,Emissions costs,2035,2310843,$000 real Jul-2023
Slower Growth,Emissions costs,2036,2616390,$000 real Jul-2023
Slower Growth,Emissions costs,2037,3573884,$000 real Jul-2023
Slower Growth,Emissions costs,2038,3683505,$000 real Jul-2023
Slower Growth,Emissions costs,2039,3774668,$000 real Jul-2023
Slower Growth,Emissions costs,2040,4116381,$000 real Jul-2023
Slower Growth,Emissions costs,2041,3919453,$000 real Jul-2023
Slower Growth,Emissions costs,2042,4246308,$000 real Jul-2023
Slower Growth,Emissions costs,2043,4191357,$000 real Jul-2023
Slower Growth,Emissions costs,2044,4379063,$000 real Jul-2023
Slower Growth,Emissions costs,2045,4743537,$000 real Jul-2023
Slower Growth,Emissions costs,2046,5046386,$000 real Jul-2023
Slower Growth,Emissions costs,2047,4528630,$000 real Jul-2023
Slower Growth,Emissions costs,2048,4513317,$000 real Jul-2023
Slower Growth,Emissions costs,2049,5946440,$000 real Jul-2023
Slower Growth,Emissions costs,2050,2774527,$000 real Jul-2023
Slower Growth,Generation excluding rooftop and storage,2027,184081,GWh
Slower Growth,Generation excluding rooftop and storage,2028,183001,GWh
Slower Growth,Generation excluding rooftop and storage,2029,173127,GWh
Slower Growth,Generation excluding rooftop and storage,2030,174276,GWh
Slower Growth,Generation excluding rooftop and storage,2031,180677,GWh
Slower Growth,Generation excluding rooftop and storage,2032,188450,GWh
Slower Growth,Generation excluding rooftop and storage,2033,192771,GWh
Slower Growth,Generation excluding rooftop and storage,2034,199346,GWh
Slower Growth,Generation excluding rooftop and storage,2035,200605,GWh
Slower Growth,Generation excluding rooftop and storage,2036,205148,GWh
Slower Growth,Generation excluding rooftop and storage,2037,211100,GWh
Slower Growth,Generation excluding rooftop and storage,2038,215299,GWh
Slower Growth,Generation excluding rooftop and storage,2039,223275,GWh
Slower Growth,Generation excluding rooftop and storage,2040,224536,GWh
Slower Growth,Generation excluding rooftop and storage,2041,226066,GWh
Slower Growth,Generation excluding rooftop and storage,2042,233238,GWh
Slower Growth,Generation excluding rooftop and storage,2043,234853,GWh
Slower Growth,Generation excluding rooftop and storage,2044,241054,GWh
Slower Growth,Generation excluding rooftop and storage,2045,247700,GWh
Slower Growth,Generation excluding rooftop and storage,2046,253401,GWh
Slower Growth,Generation excluding rooftop and storage,2047,256768,GWh
Slower Growth,Generation excluding rooftop and storage,2048,262361,GWh
Slower Growth,Generation excluding rooftop and storage,2049,267551,GWh
Slower Growth,Generation excluding rooftop and storage,2050,273581,GWh
Slower Growth,Rooftop and other small-scale solar generation,2027,30776,GWh
Slower Growth,Rooftop and other small-scale solar generation,2028,34564,GWh
Slower Growth,Rooftop and other small-scale solar generation,2029,38273,GWh
Slower Growth,Rooftop and other small-scale solar generation,2030,39966,GWh
Slower Growth,Rooftop and other small-scale solar generation,2031,42159,GWh
Slower Growth,Rooftop and other small-scale solar generation,2032,43968,GWh
Slower Growth,Rooftop and other small-scale solar generation,2033,44854,GWh
Slower Growth,Rooftop and other small-scale solar generation,2034,47588,GWh
Slower Growth,Rooftop and other small-scale solar generation,2035,49363,GWh
Slower Growth,Rooftop and other small-scale solar generation,2036,50250,GWh
Slower Growth,Rooftop and other small-scale solar generation,2037,48261,GWh
Slower Growth,Rooftop and other small-scale solar generation,2038,48343,GWh
Slower Growth,Rooftop and other small-scale solar generation,2039,50606,GWh
Slower Growth,Rooftop and other small-scale solar generation,2040,54983,GWh
Slower Growth,Rooftop and other small-scale solar generation,2041,55625,GWh
Slower Growth,Rooftop and other small-scale solar generation,2042,54194,GWh
Slower Growth,Rooftop and other small-scale solar generation,2043,48782,GWh
Slower Growth,Rooftop and other small-scale solar generation,2044,52843,GWh
Slower Growth,Rooftop and other small-scale solar generation,2045,56932,GWh
Slower Growth,Rooftop and other small-scale solar generation,2046,58600,GWh
Slower Growth,Rooftop and other small-scale solar generation,2047,61475,GWh
Slower Growth,Rooftop and other small-scale solar generation,2048,64560,GWh
Slower Growth,Rooftop and other small-scale solar generation,2049,66967,GWh
Slower Growth,Rooftop and other small-scale solar generation,2050,72304,GWh
Slower Growth,Storage and DSP net generation,2027,-1139,GWh
Slower Growth,Storage and DSP net generation,2028,-1775,GWh
Slower Growth,Storage and DSP net generation,2029,-3544,GWh
Slower Growth,Storage and DSP net generation,2030,-9286,GWh
Slower Growth,Storage and DSP net generation,2031,-10580,GWh
Slower Growth,Storage and DSP net generation,2032,-11798,GWh
Slower Growth,Storage and DSP net generation,2033,-10709,GWh
Slower Growth,Storage and DSP net generation,2034,-12314,GWh
Slower Growth,Storage and DSP net generation,2035,-11131,GWh
Slower Growth,Storage and DSP net generation,2036,-11328,GWh
Slower Growth,Storage and DSP net generation,2037,-11022,GWh
Slower Growth,Storage and DSP net generation,2038,-9965,GWh
Slower Growth,Storage and DSP net generation,2039,-11581,GWh
Slower Growth,Storage and DSP net generation,2040,-11150,GWh
Slower Growth,Storage and DSP net generation,2041,-10607,GWh
Slower Growth,Storage and DSP net generation,2042,-11688,GWh
Slower Growth,Storage and DSP net generation,2043,-9701,GWh
Slower Growth,Storage and DSP net generation,2044,-10236,GWh
Slower Growth,Storage and DSP net generation,2045,-11525,GWh
Slower Growth,Storage and DSP net generation,2046,-11997,GWh
Slower Growth,Storage and DSP net generation,2047,-11320,GWh
Slower Growth,Storage and DSP net generation,2048,-11661,GWh
Slower Growth,Storage and DSP net generation,2049,-10908,GWh
Slower Growth,Storage and DSP net generation,2050,-12363,GWh
Accelerated Transition,"Generation, storage and electrolyser capital costs",2027,25928,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2028,665001,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2029,3842742,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2030,5911374,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2031,9123646,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2032,10903655,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2033,12077965,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2034,13411109,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2035,14879814,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2036,16286250,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2037,18660862,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2038,19735271,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2039,22159694,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2040,24338955,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2041,25317189,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2042,26626690,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2043,27478849,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2044,29694197,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2045,31234007,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2046,32923266,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2047,33010854,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2048,33472566,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2049,37444121,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser capital costs",2050,37005876,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2027,2835029,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2028,3133979,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2029,3706965,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2030,3958703,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2031,4405908,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2032,4798484,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2033,5126359,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2034,5265823,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2035,5720083,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2036,6074844,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2037,6521743,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2038,6843549,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2039,7297608,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2040,7736837,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2041,7895926,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2042,8089670,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2043,8254456,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2044,8629328,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2045,8774537,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2046,8959044,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2047,8939841,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2048,8967921,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2049,9804353,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser FOM costs",2050,9602099,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2027,1123902,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2028,991121,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2029,637445,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2030,472123,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2031,293567,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2032,247455,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2033,312885,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2034,257863,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2035,271212,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2036,322240,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2037,330661,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2038,318780,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2039,286124,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2040,314352,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2041,359736,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2042,346692,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2043,381239,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2044,343373,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2045,353727,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2046,356943,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2047,398737,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2048,401003,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2049,445849,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser VOM costs",2050,415803,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2027,0,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2028,47141,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2029,1526905,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2030,1687198,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2031,878648,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2032,418279,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2033,185579,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2034,779214,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2035,34855,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2036,44141,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2037,92674,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2038,70720,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2039,133154,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2040,90892,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2041,115313,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2042,49453,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2043,43514,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2044,292708,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2045,286147,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2046,355767,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2047,367550,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2048,443063,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2049,682990,$000 real Jul-2023
Accelerated Transition,"Generation, storage and electrolyser retirement costs",2050,984121,$000 real Jul-2023
Accelerated Transition,Fuel costs,2027,7912304,$000 real Jul-2023
Accelerated Transition,Fuel costs,2028,6614704,$000 real Jul-2023
Accelerated Transition,Fuel costs,2029,2928870,$000 real Jul-2023
Accelerated Transition,Fuel costs,2030,2394550,$000 real Jul-2023
Accelerated Transition,Fuel costs,2031,882841,$000 real Jul-2023
Accelerated Transition,Fuel costs,2032,629948,$000 real Jul-2023
Accelerated Transition,Fuel costs,2033,1498146,$000 real Jul-2023
Accelerated Transition,Fuel costs,2034,1170291,$000 real Jul-2023
Accelerated Transition,Fuel costs,2035,1094167,$000 real Jul-2023
Accelerated Transition,Fuel costs,2036,1397901,$000 real Jul-2023
Accelerated Transition,Fuel costs,2037,1507628,$000 real Jul-2023
Accelerated Transition,Fuel costs,2038,1288844,$000 real Jul-2023
Accelerated Transition,Fuel costs,2039,645464,$000 real Jul-2023
Accelerated Transition,Fuel costs,2040,1101368,$000 real Jul-2023
Accelerated Transition,Fuel costs,2041,1248708,$000 real Jul-2023
Accelerated Transition,Fuel costs,2042,1050128,$000 real Jul-2023
Accelerated Transition,Fuel costs,2043,1271657,$000 real Jul-2023
Accelerated Transition,Fuel costs,2044,397722,$000 real Jul-2023
Accelerated Transition,Fuel costs,2045,714007,$000 real Jul-2023
Accelerated Transition,Fuel costs,2046,546176,$000 real Jul-2023
Accelerated Transition,Fuel costs,2047,959667,$000 real Jul-2023
Accelerated Transition,Fuel costs,2048,454301,$000 real Jul-2023
Accelerated Transition,Fuel costs,2049,987920,$000 real Jul-2023
Accelerated Transition,Fuel costs,2050,565125,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2027,14,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2028,154786,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2029,10,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2030,1319,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2031,156,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2032,57,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2033,6995,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2034,30,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2035,0,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2036,0,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2037,0,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2038,222,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2039,111267,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2040,157855,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2041,213044,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2042,193373,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2043,240320,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2044,164313,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2045,235347,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2046,332093,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2047,271421,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2048,292615,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2049,451323,$000 real Jul-2023
Accelerated Transition,DSP+USE costs,2050,252146,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2027,0,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2028,0,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2029,111350,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2030,182934,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2031,204642,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2032,536076,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2033,536076,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2034,657148,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2035,760830,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2036,807251,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2037,807251,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2038,807251,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2039,807251,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2040,807251,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2041,810355,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2042,973874,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2043,1023281,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2044,1023281,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2045,1023281,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2046,1023281,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2047,1023281,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2048,1238274,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2049,1238274,$000 real Jul-2023
Accelerated Transition,Flow path capital costs,2050,1238274,$000 real Jul-2023
Accelerated Transition,Flow path O&M costs,2027,0,$000 real Jul-2023
Accelerated Transition,Flow path O&M costs,2028,0,$000 real Jul-2023
Accelerated Transition,Flow path O&M costs,2029,28306,$000 real Jul-2023
Accelerated Transition,Flow path O&M costs,2030,46329,$000 real Jul-2023
Accelerated Transition,Flow path O&M costs,2031,51421,$000 real Jul-2023
Accelerated Transition,Flow path O&M costs,2032,131962,$000 real Jul-2023
Accelerated Transition,Flow path O&M costs,2033,131962,$000 real Jul-2023
